,Name,Latitude,Longitude,ERHRegionID,WAPRegionID,FuelRefer,FuelCityID,Oil1Price,Oil2Price,PropanePrice,BirchPrice,SprucePrice,CoalPrice,SteamPrice,HotWaterPrice,MunicipalSalesTax,BoroughSalesTax,TMYid,TMYname,ElecUtilities,GasPrice,aris_city,census_city,census_area,ancsa_region,railbelt,hub,avg_elec_usage
0,Anchorage,61.1519584655762,-149.864105224609,2,2,False,,3.0699999332428,,4.5,325.0,345.0,175.0,,,,,702730,"ANCHORAGE INTL AP, AK","[('Anchorage ML&P - Residential', 2), ('Anchorage ML&P - Commercial - Sm', 293), ('Anchorage ML&P - Commercial - Lg', 480), ('Chugach Electric- Residential', 1), ('Chugach Electric - Commercial - Sm', 361), ('Chugach Electric - Commercial - Lg', 548)]",0.978519976139068,Anchorage,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,True,"[674.3176110825001, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.8355384270001, 575.696935941, 610.274161992]"
1,Adak,51.8488960266113,-176.63542175293,2,3,False,,4.42000007629395,4.69000005722046,,,,,,,0.0399999991059303,,704540,"ADAK NAS, AK","[('Adak -TDX Residential', 677), ('Adak - TDX Commercial', 678)]",,Adak,Adak city,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,False,"[471.936998147, 423.45531781, 460.81549341, 424.29430280099996, 414.198261989, 408.02137305699995, 428.550250417, 419.71331168800003, 409.07778510199995, 425.893819855, 443.339960239, 463.328994468]"
2,Akutan,54.1349449157715,-165.772445678711,2,3,False,,2.45000004768372,2.45000004768372,,,,,,,,,704890,"DUTCH HARBOR, AK","[('Akutan, City of - Residential', 9), ('Akutan, City of - Commercial - Sm', 288), ('Akutan, City of - Commercial - Lg', 475)]",,Akutan,Akutan city,Aleutians East Borough,Aleut,Affordable Energy Strategy Area,False,"[500.99156233, 439.98431584599996, 456.510655517, 421.946346724, 426.966352624, 380.76338928900003, 392.608543794, 400.059089699, 410.11991491599997, 434.168674699, 445.715396996, 472.65755627]"
3,Allakaket,66.5613861083984,-152.649444580078,4,4,False,,7.0,,11.4399995803833,,,,,,,,701740,"BETTLES FIELD, AK","[('Allakaket - APT - Residential', 249), ('Allakaket - APT - Commercial - Sm', 291), ('Allakaket - APT- Commercial - Lg', 478)]",,Allakaket,Allakaket city,Yukon-Koyukuk Census Area,Doyon,Affordable Energy Strategy Area,False,"[338.509000744, 291.889556239, 276.804469551, 259.698748275, 241.22759162, 241.87788097700002, 237.01448643400002, 240.39129591, 250.339561607, 260.703968331, 289.122744033, 324.815682083]"
4,Angoon,57.4966468811035,-134.578903198242,1,1,False,,3.82999992370605,3.82999992370605,,,,,,,0.0299999993294477,,703710,"SITKA JAPONSKI AP, AK","[('Inside Passage Electric Coop - Residential', 283), ('Inside Passage Electric Coop  - Commercial - Sm', 393), ('Inside Passage Electric Coop - Commercial - Lg', 580)]",,Angoon,Angoon city,Hoonah-Angoon Census Area,Sealaska Corporation,Affordable Energy Strategy Area,False,"[277.08055898099997, 257.757954545, 237.15561277, 239.50855670099997, 232.81395585400003, 253.427644913, 264.28254482799997, 268.63711464799997, 250.88190628400002, 238.54019162900002, 250.78143621900003, 260.080513183]"
5,Aniak,61.5779037475586,-159.546752929688,4,6,False,,5.94999980926514,,,,,,,,0.0199999995529652,,702320,"ANIAK AIRPORT, AK","[('Aniak Light & Power - Residential', 17), ('Aniak Light & Power - Commercial - Sm', 295), ('Aniak Light & Power - Commercial - Lg', 482)]",,Aniak,Aniak city,Bethel Census Area,Calista,Affordable Energy Strategy Area,False,"[416.867554436, 363.900387399, 367.474233607, 340.637500374, 329.199580587, 303.281822536, 312.847173092, 327.95056333400004, 331.055017424, 357.597986677, 383.10692922699997, 407.825681832]"
6,Arctic Village,68.1228713989258,-145.536972045898,6,5,False,,11.0,,15.25,,,,,,,,701940,"FORT YUKON, AK","[('Arctic Village Elec - Residential', 18), ('Arctic Village Elec - Commercial - Sm', 296), ('Arctic Village Elec - Commercial - Lg', 483)]",,Arctic Village,Arctic Village CDP,Yukon-Koyukuk Census Area,Doyon,Affordable Energy Strategy Area,False,"[338.509000744, 291.889556239, 276.804469551, 259.698748275, 241.22759162, 241.87788097700002, 237.01448643400002, 240.39129591, 250.339561607, 260.703968331, 289.122744033, 324.815682083]"
7,Atka,52.2155876159668,-174.205169677734,2,3,False,,6.84999990463257,,,,,,,,,,704540,"ADAK NAS, AK","[('Andreanof Electric Corp - Residential', 16), ('Andreanof Electric - Commercial - Sm', 294), ('Andreanof Electric Corp - Commercial - Lg', 481)]",,Atka,Atka city,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,False,"[471.936998147, 423.45531781, 460.81549341, 424.29430280099996, 414.198261989, 408.02137305699995, 428.550250417, 419.71331168800003, 409.07778510199995, 425.893819855, 443.339960239, 463.328994468]"
8,Auke Bay,58.3830032348633,-134.66145324707,1,1,False,292.0,2.96000003814697,2.91000008583069,3.15000009536743,,,,,,,0.0500000007450581,703810,"JUNEAU INT'L ARPT, AK","[('AEL&P - Residential', 11), ('AEL&P - Residential Demand', 659), ('AEL&P - Residential Heat Pump', 663), ('AEL&P - Sm Commercial', 289), ('AEL&P - Lg Commercial', 476), ('AEL&P -  Sm Commercial Demand', 660)]",,Auke Bay,Juneau city and borough,Juneau City and Borough,Sealaska Corporation,Affordable Energy Strategy Area,False,"[674.3176110825001, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.8355384270001, 575.696935941, 610.274161992]"
9,Barrow/Utqiavik,71.29736328125,-156.751846313477,6,5,False,,,,12.710000038147,,,,,,,,700260,"BARROW W POST-W ROGERS ARPT [NSA - ARM], AK","[('Barrow Utilities & Electric-elec - Residential', 20), ('Barrow Utilities - elec - Commercial - Lg', 347), ('Barrow Utilities & Electric-elec - Commercial - Lg', 534)]",0.329299986362457,Barrow,Barrow city,North Slope Borough,Arctic Slope Regional Corporation,Affordable Energy Strategy Area,True,"[674.3176110825001, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.8355384270001, 575.696935941, 610.274161992]"
