ID,ID,Name,Active,Type,IsCommercial,ChargesRCC,PCE,CO2,CustomerChg,DemandCharge,NameShort,Blocks
1,1,Chugach Electric- Residential,True,1,False,True,0.0,1.10000002384186,8.0,,Chugac,"[(nan, 0.18647000112105194), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
2,2,Anchorage ML&P - Residential,True,1,False,True,,1.10000002384186,6.55999994277954,,Anchor,"[(nan, 0.17283999512437723), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
3,3,Golden Valley Electric - Residential,True,1,False,True,,2.27999997138977,17.5,,Golden,"[(nan, 0.21187999809626523), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
5,5,Enstar Natural Gas - G1 (Res),True,2,False,True,0.0,,17.0,,Enstar,"[(nan, 0.9794199761236081), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
6,6,"Akhiok, City of Residential",True,1,False,False,0.387199997901917,2.20000004768372,,,Akhiok,"[(nan, 0.800000011920929), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
7,7,Akiachak Residential,True,1,False,False,0.261999994516373,1.89999997615814,,,Akiach,"[(nan, 0.600000023841858), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
8,8,"Akiak, City of - Residential",True,1,False,False,0.217199996113777,1.79999995231628,,,"Akiak,","[(nan, 0.529999971389771), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
9,9,"Akutan, City of - Residential",True,1,False,False,0.774200022220612,2.5,,,Akutan,"[(nan, 0.949999988079071), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
11,11,AEL&P - Residential,True,1,False,True,0.0,0.0130000002682209,9.22000026702881,,AEL&P ,"[(nan, 0.10592500178609075), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
15,15,Alutiiq Power - Residential,True,1,False,False,0.377099990844727,2.40000009536743,,,Alutii,"[(nan, 0.699999988079071), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
16,16,Andreanof Electric Corp - Residential,True,1,False,False,0.238600000739098,2.79999995231628,,,Andrea,"[(nan, 0.625), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
17,17,Aniak Light & Power - Residential,True,1,False,True,0.301099985837936,1.70000004768372,,,Aniak ,"[(nan, 0.606200009235181), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
