,brand,ahri_num,zones,outdoor_model,indoor_model,hspf,in_pwr_5F_max,capacity_5F_max,in_pwr_47F_min,cop_5F_max,cop_17F_max,cop_47F_max
0,Acd,202110483,Single,UHD09KCH38S-O,UHD09KCH38S-I,15.0,1.82,12977.0,0.2,2.089661140324176,2.4056524740280896,2.6571777013333335
1,Acd,201863350,Single,OCD09KCH23S-O,OCD09KCH23S-I,10.5,1.33,9171.0,0.16,2.02086825787218,2.183095854335484,2.605076177777778
2,Acd,202110500,Multi,MPD30KCH21S-O,Non-Ducted Indoor Units,11.5,3.01,19356.0,1.05,1.8846125019667774,3.1260914133333335,3.584756853954717
3,Acd,202110494,Multi,MPD18KCH22S-O,Non-Ducted Indoor Units,11.0,2.3,13450.0,0.75,1.7138286484782608,2.4152590693467335,2.365502207857143
4,Acd,202132789,Single,UHD24KCH22S-O,UHD24KCH22S-I,12.0,3.2,22553.0,0.38,2.0655099505343752,2.277196896866864,2.534668713513513
5,Acd,202110485,Single,UHD18KCH25S-O,UHD18KCH25S-I,12.0,3.1,21500.0,0.32,2.032589679032258,2.1064483156250002,2.309044793939394
6,Acd,202110484,Single,UHD12KCH31S-O,UHD12KCH31S-I,14.0,0.86,8000.0,0.25,2.7262425116279068,2.6376396300000002,3.4252681306249997
7,Acd,202110497,Multi,MPD24KCH21S-O,Non-Ducted Indoor Units,11.0,2.97,18356.0,0.95,1.8113173605791246,3.0227061031390137,2.254392846153846
8,Acd,201863352,Single,OCD18KCH20S-O,OCD18KCH20S-I,10.5,2.6,16500.0,0.58,1.8598740980769228,2.141673203846154,2.648911594230769
9,Acd,201863351,Single,OCD12KCH22S-O,OCD12KCH22S-I,11.0,1.28,8800.0,0.21,2.01486360625,2.395746642373134,2.9307106999999997
10,Acd,202110503,Multi,MPD36KCH21S-O,Non-Ducted Indoor Units,11.5,3.12,21356.0,1.25,2.0060339009358974,2.7320184491525423,3.610961216922222
11,Acd,201863353,Single,OCD24KCH20S-O,OCD24KCH20S-I,10.0,3.32,22862.0,0.46,2.018129759740964,1.903744208171745,3.052316953112033
36,American Standard,7151530,Single,4TXK2709A10N0AA,4MXW2709A10N0AA,10.0,1.095,8000.0,0.1,2.141158502283105,2.4736350115698684,2.579025416
37,American Standard,7151532,Single,4TXK2712A10NAA,4MXW2712A10N0AA,10.0,1.131,8300.0,0.1,2.150742600353669,2.5244735732673265,3.0392555407407404
